A8,BLK 209/210 ANG MO KIO STREET 22,1.368756071,103.8433049,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A81,BLK 170/172 ANG MO KIO ST 13,1.374355553,103.8364779,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A82,BLK 173/176 ANG MO KIO AVE 4,1.375674922,103.8363978,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A83,BLK 5022 TO 5095 ANG MO KIO IND PARK 2,1.37430756,103.8606887,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A85,BLK 340 ANG MO KIO ST 32,1.365107378,103.8497047,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A86,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO IND PARK 1,1.361884891,103.8565139,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A87,BLK 462/463 ANG MO KIO ST 44,1.366826359,103.8578773,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A88,BLK 348 ANG MO KIO AVE 3,1.366280716,103.8472626,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A89,BLK 101/102 ANG MO KIO ST 11,1.370459183,103.8393661,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
A9,BLK 202/203 ANG MO KIO STREET 22,1.36807437,103.844389,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A90,BLK 625/627 ANG MO KIO ST 61,1.382000689,103.8412449,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A94,BLK 104C ANG MO KIO STREET 11,1.371859827,103.8383145,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A95,BLK 323A ANG MO KIO AVENUE 3,1.3674553,103.8478107,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A98,BLK 259 ANG MO KIO AVE 2,1.369164311,103.8318546,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
A99,BLK 181 ANG MO KIO AVE 5,1.376985257,103.8372128,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO
BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,1.296580028,103.853658,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES
BBM1,BLK 188A BUKIT BATOK WEST AVE 6,1.346436654,103.7454066,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM2,BLK 628A BUKIT BATOK CENTRAL,1.350867071,103.7499054,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM3,BLK 289H BUKIT BATOK STREET 25,1.344506283,103.759938,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM4,BLK 288H BUKIT BATOK STREET 25,1.345550698,103.7601991,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM5,BLK 290H BUKIT BATOK STREET 24,1.343242885,103.7579543,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM6,BLK 291F BUKIT BATOK STREET 24,1.342859652,103.7550738,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM7,BLK 154A BUKIT BATOK WEST AVE 8,1.347355328,103.7437203,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BBM8,BLK 622A BUKIT BATOK CENTRAL,1.349969285,103.7485341,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES
BBM9,BLK 395A BUKIT BATOK WEST AVE 5,1.365830635,103.751795,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE10,BLKS 168-180 BISHAN STREET 13,1.347741037,103.8532899,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE11,BLK 181-186 BISHAN STREET 13,1.349779455,103.8530359,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE12,BLK 187-197 BISHAN STREET 13,1.350023317,103.8509649,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES
BE13,BLK 135A BISHAN STREET 12,1.344885541,103.8515226,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE14,BLK 167A BISHAN STREET 13,1.347059123,103.8554256,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE15,BLK 152A BISHAN STREET 11,1.345162758,103.8548323,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE16,BISHAN PARK I,1.364299477,103.8350605,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE17,BISHAN PARK II,1.363007748,103.8476744,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE18,BLK 441-455 SIN MING/BRIGHT HILL DRIVE,1.358351091,103.8310868,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO
BE19,BLK 503/504 BISHAN STREET 11,1.34885537,103.8481976,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE20,BLK 505 BISHAN STREET 11,1.348891504,103.8486606,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE21,BLK 506/509 BISHAN STREET 11,1.348624675,103.8490362,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE22,BLK 511/513 BISHAN STREET 13,1.349436594,103.8496504,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
BE23,BLK 514 BISHAN STREET 13,1.350095907,103.8497584,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES
BE24,BLK 201/206 BISHAN STREET 23,1.35533231,103.8474789,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,SUN & PH FR 7AM-10.30PM,NO
BE25,BLK 207A BISHAN STREET 23,1.355154368,103.8483047,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES
